EURING,Scientific_Name,English_ioc,Clements_Common_Name,English_birdnet,French_ioc,French_birdnet,Spanish_ioc,Spanish_birdnet,Dutch_ioc,Dutch_birdnet,Norwegian_ioc,Norwegian_birdnet
5020,Calidris temminckii,Temminck's Stint,Temminck's Stint,Temminck's Stint,Bécasseau de Temminck,NA,Correlimos de Temminck,NA,Temmincks Strandloper,NA,temmincksnipe,NA
5090,Calidris ferruginea,Curlew Sandpiper,Curlew Sandpiper,Curlew Sandpiper,Bécasseau cocorli,NA,Correlimos zarapitín,NA,Krombekstrandloper,NA,tundrasnipe,NA
5100,Calidris maritima,Purple Sandpiper,Purple Sandpiper,Purple Sandpiper,Bécasseau violet,NA,Correlimos oscuro,NA,Paarse Strandloper,NA,fjæreplytt,NA
5120,Calidris alpina,Dunlin,Dunlin,Dunlin,Bécasseau variable,NA,Correlimos común,NA,Bonte Strandloper,NA,myrsnipe,NA
5140,Calidris falcinellus,Broad-billed Sandpiper,Broad-billed Sandpiper,Broad-billed Sandpiper,Bécasseau falcinelle,NA,Correlimos falcinelo,NA,Breedbekstrandloper,NA,fjellmyrløper,NA
5170,Calidris pugnax,Ruff,Ruff,Ruff,Combattant varié,NA,Combatiente,NA,Kemphaan,NA,brushane,NA
5180,Lymnocryptes minimus,Jack Snipe,Jack Snipe,Jack Snipe,Bécassine sourde,NA,Agachadiza chica,NA,Bokje,NA,kvartbekkasin,NA
5190,Gallinago gallinago,Common Snipe,Common Snipe,Common Snipe,Bécassine des marais,NA,Agachadiza común,NA,Watersnip,NA,enkeltbekkasin,NA
5200,Gallinago media,Great Snipe,Great Snipe,Great Snipe,Bécassine double,NA,Agachadiza real,NA,Poelsnip ,NA,dobbeltbekkasin,NA
5290,Scolopax rusticola,Eurasian Woodcock,Eurasian Woodcock,Eurasian Woodcock,Bécasse des bois,NA,Chocha perdiz,NA,Houtsnip,NA,rugde,NA
5320,Limosa limosa,Black-tailed Godwit,Black-tailed Godwit,Black-tailed Godwit,Barge à queue noire,NA,Aguja colinegra,NA,Grutto,NA,svarthalespove,NA
5340,Limosa lapponica,Bar-tailed Godwit,Bar-tailed Godwit,Bar-tailed Godwit,Barge rousse,NA,Aguja colipinta,NA,Rosse Grutto,NA,lappspove,NA
5380,Numenius phaeopus,Eurasian Whimbrel,Whimbrel,Whimbrel,Courlis corlieu,NA,Zarapito trinador,NA,Regenwulp,NA,småspove,NA
5410,Numenius arquata,Eurasian Curlew,Eurasian Curlew,Eurasian Curlew,Courlis cendré,NA,Zarapito real,NA,Wulp,NA,storspove,NA
5450,Tringa erythropus,Spotted Redshank,Spotted Redshank,Spotted Redshank,Chevalier arlequin,NA,Archibebe oscuro,NA,Zwarte Ruiter,NA,sotsnipe,NA
5460,Tringa totanus,Common Redshank,Common Redshank,Common Redshank,Chevalier gambette,NA,Archibebe común,NA,Tureluur,NA,rødstilk,NA
5470,Tringa stagnatilis,Marsh Sandpiper,Marsh Sandpiper,Marsh Sandpiper,Chevalier stagnatile,NA,Archibebe fino,NA,Poelruiter ,NA,damsnipe,NA
5480,Tringa nebularia,Common Greenshank,Common Greenshank,Common Greenshank,Chevalier aboyeur,NA,Archibebe claro,NA,Groenpootruiter,NA,gluttsnipe,NA
5530,Tringa ochropus,Green Sandpiper,Green Sandpiper,Green Sandpiper,Chevalier cul-blanc,NA,Andarríos grande,NA,Witgat,NA,skogsnipe,NA
5540,Tringa glareola,Wood Sandpiper,Wood Sandpiper,Wood Sandpiper,Chevalier sylvain,NA,Andarríos bastardo,NA,Bosruiter,NA,grønnstilk,NA
5550,Xenus cinereus,Terek Sandpiper,Terek Sandpiper,Terek Sandpiper,Chevalier bargette,NA,Andarríos del Terek,NA,Terekruiter,NA,tereksnipe,NA
5560,Actitis hypoleucos,Common Sandpiper,Common Sandpiper,Common Sandpiper,Chevalier guignette,NA,Andarríos chico,NA,Oeverloper,NA,strandsnipe,NA
5610,Arenaria interpres,Ruddy Turnstone,Ruddy Turnstone,Ruddy Turnstone,Tournepierre à collier,NA,Vuelvepiedras común,NA,Steenloper,NA,steinvender,NA
5640,Phalaropus lobatus,Red-necked Phalarope,Red-necked Phalarope,Red-necked Phalarope,Phalarope à bec étroit,NA,Falaropo picofino,NA,Grauwe Franjepoot,NA,svømmesnipe,NA
5650,Phalaropus fulicarius,Red Phalarope,Red Phalarope,Grey Phalarope,Phalarope à bec large,NA,Falaropo picogrueso,NA,Rosse franjepoot,NA,polarsvømmesnipe,NA
5660,Stercorarius pomarinus,Pomarine Jaeger,Pomarine Jaeger,Pomarine Skua,Labbe pomarin,NA,Págalo pomarino,NA,Middelste Jager,NA,polarjo,NA
5670,Stercorarius parasiticus,Parasitic Jaeger,Parasitic Jaeger,Arctic Skua,Labbe parasite,NA,Págalo parásito,NA,Kleine Jager,NA,tyvjo,NA
5680,Stercorarius longicaudus,Long-tailed Jaeger,Long-tailed Jaeger,Long-tailed Skua,Labbe à longue queue,NA,Págalo rabero,NA,Kleinste Jager,NA,fjelljo,NA
5690,Stercorarius skua,Great Skua,Great Skua,Great Skua,Grand Labbe,NA,Págalo grande,NA,Grote Jager,NA,storjo,NA
5750,Ichthyaetus melanocephalus,Mediterranean Gull,Mediterranean Gull,Mediterranean Gull,Mouette mélanocéphale,NA,Gaviota cabecinegra,NA,Zwartkopmeeuw,NA,svartehavsmåke,NA
5780,Hydrocoloeus minutus,Little Gull,Little Gull,Little Gull,Mouette pygmée,NA,Gaviota enana,NA,Dwergmeeuw,NA,dvergmåke,NA
5790,Xema sabini,Sabine's Gull,Sabine's Gull,Sabine's Gull,Mouette de Sabine,NA,Gaviota de Sabine,NA,Vorkstaartmeeuw ,NA,sabinemåke,NA
5820,Chroicocephalus ridibundus,Black-headed Gull,Black-headed Gull,Black-headed Gull,Mouette rieuse,NA,Gaviota reidora,NA,Kokmeeuw,NA,hettemåke,NA
5900,Larus canus,Common Gull,Common Gull,Common Gull,Goéland cendré,NA,Gaviota cana,NA,Stormmeeuw,NA,fiskemåke,NA
5910,Larus fuscus,Lesser Black-backed Gull,Lesser Black-backed Gull,Lesser Black-backed Gull,Goéland brun,NA,Gaviota sombría,NA,Kleine Mantelmeeuw,NA,sildemåke,NA
5926,Larus michahellis,Yellow-legged Gull,Yellow-legged Gull,Yellow-legged Gull,Goéland leucophée,NA,Gaviota patiamarilla,NA,Geelpootmeeuw,NA,gulbeinmåke,NA
5927,Larus cachinnans,Caspian Gull,Caspian Gull,Caspian Gull,Goéland pontique,NA,Gaviota del Caspio,NA,Pontische Meeuw,NA,kaspimåke,NA
5980,Larus glaucoides,Iceland Gull,Iceland Gull,Iceland Gull,Goéland arctique,NA,Gaviota groenlandesa,NA,Kleine Burgemeester,NA,grønlandsmåke,NA
5990,Larus hyperboreus,Glaucous Gull,Glaucous Gull,Glaucous Gull,Goéland bourgmestre,NA,Gavión hiperbóreo,NA,Grote Burgemeester,NA,polarmåke,NA
6000,Larus marinus,Great Black-backed Gull,Great Black-backed Gull,Great Black-backed Gull,Goéland marin,NA,Gavión atlántico,NA,Grote mantelmeeuw,NA,svartbak,NA
6010,Rhodostethia rosea,Ross's Gull,Ross's Gull,Ross's Gull,Mouette rosée,NA,Gaviota rosada,NA,Ross' Meeuw,NA,rosenmåke,NA
6020,Rissa tridactyla,Black-legged Kittiwake,Black-legged Kittiwake,Black-legged Kittiwake,Mouette tridactyle,NA,Gaviota tridáctila,NA,Drieteenmeeuw,NA,krykkje,NA
6040,Pagophila eburnea,Ivory Gull,Ivory Gull,NA,Mouette blanche,NA,Gaviota marfileña,NA,Ivoormeeuw ,NA,ismåke,NA
6050,Gelochelidon nilotica,Gull-billed Tern,Gull-billed Tern,Gull-billed Tern,Sterne hansel,NA,Pagaza piconegra,NA,Lachstern,NA,sandterne,NA
6060,Hydroprogne caspia,Caspian Tern,Caspian Tern,Caspian Tern,Sterne caspienne,NA,Pagaza piquirroja,NA,Reuzenstern,NA,rovterne,NA
6110,Thalasseus sandvicensis,Sandwich Tern,Sandwich Tern,Sandwich Tern,Sterne caugek,NA,Charrán patinegro,NA,Grote Stern,NA,splitterne,NA
6150,Sterna hirundo,Common Tern,Common Tern,Common Tern,Sterne pierregarin,NA,Charrán común,NA,Visdief,NA,makrellterne,NA
6160,Sterna paradisaea,Arctic Tern,Arctic Tern,Arctic Tern,Sterne arctique,NA,Charrán ártico,NA,Noordse Stern,NA,rødnebbterne,NA
6240,Sternula albifrons,Little Tern,Little Tern,Little Tern,Sterne naine,NA,Charrancito común,NA,Dwergstern,NA,dvergterne,NA
6260,Chlidonias hybrida,Whiskered Tern,Whiskered Tern,Whiskered Tern,Guifette moustac,NA,Fumarel cariblanco,NA,Witwangstern,NA,hvitkinnsvartterne,NA
6270,Chlidonias niger,Black Tern,Black Tern,Black Tern,Guifette noire,NA,Fumarel común,NA,Zwarte Stern,NA,svartterne,NA
6280,Chlidonias leucopterus,White-winged Tern,White-winged Tern,White-winged Black Tern,Guifette leucoptère,NA,Fumarel aliblanco,NA,Witvleugelstern,NA,hvitvingesvartterne,NA
6340,Uria aalge,Common Murre,Common Murre,Common Guillemot,Guillemot marmette,NA,Arao común,NA,Zeekoet,NA,lomvi,NA
6350,Uria lomvia,Thick-billed Murre,Thick-billed Murre,Brünnich's Guillemot,Guillemot de Brünnich,NA,Arao de Brünnich,NA,Kortbekzeekoet ,NA,polarlomvi,NA
6360,Alca torda,Razorbill,Razorbill,Razorbill,Petit Pingouin,NA,Alca común,NA,Alk,NA,alke,NA
6380,Cepphus grylle,Black Guillemot,Black Guillemot,Black Guillemot,Guillemot à miroir,NA,Arao aliblanco,NA,Zwarte Zeekoet,NA,teist,NA
6470,Alle alle,Little Auk,Dovekie,NA,Mergule nain,NA,Mérgulo atlántico,NA,Kleine Alk,NA,alkekonge,NA
6540,Fratercula arctica,Atlantic Puffin,Atlantic Puffin,Atlantic Puffin,Macareux moine,NA,Frailecillo atlántico,NA,Papegaaiduiker,NA,lunde,NA
6650,Columba livia,Rock Dove,Rock Pigeon,Rock Dove,Pigeon biset,NA,Paloma bravía,NA,Rotsduif ,NA,klippedue,NA
6680,Columba oenas,Stock Dove,Stock Dove,Stock Dove,Pigeon colombin,NA,Paloma zurita,NA,Holenduif,NA,skogdue,NA
6700,Columba palumbus,Common Wood Pigeon,Common Wood-Pigeon,Common Woodpigeon,Pigeon ramier,NA,Paloma torcaz,NA,Houtduif,NA,ringdue,NA
6840,Streptopelia decaocto,Eurasian Collared Dove,Eurasian Collared-Dove,Collared Dove,Tourterelle turque,NA,Tórtola turca,NA,Turkse Tortel,NA,tyrkerdue,NA
6870,Streptopelia turtur,European Turtle Dove,European Turtle-Dove,European Turtle Dove,Tourterelle des bois,NA,Tórtola europea,NA,Zomertortel,NA,turteldue,NA
7240,Cuculus canorus,Common Cuckoo,Common Cuckoo,Common Cuckoo,Coucou gris,NA,Cuco común,NA,Koekoek,NA,gjøk,NA
7350,Tyto alba,Western Barn Owl,Western Barn Owl,Barn Owl,Effraie des clochers,NA,Lechuza común,NA,Kerkuil,NA,tårnugle,NA
7390,Otus scops,Eurasian Scops Owl,Eurasian Scops-Owl,Eurasian Scops Owl,Petit-duc scops,NA,Autillo europeo,NA,Dwergooruil,NA,dverghornugle,NA
7440,Bubo bubo,Eurasian Eagle-Owl,Eurasian Eagle-Owl,Eurasian Eagle Owl,Grand-duc d’Europe,NA,Búho real,NA,Oehoe,NA,hubro,NA
7490,Bubo scandiacus,Snowy Owl,Snowy Owl,Snowy Owl,Harfang des neiges,NA,Búho nival,NA,Sneeuwuil ,NA,snøugle,NA
7500,Surnia ulula,Northern Hawk-Owl,Northern Hawk Owl,Northern Hawk Owl,Chouette épervière,Épervière boréale,Cárabo gavilán,Lechuza Gavilana,Sperweruil ,NA,haukugle,NA
7510,Glaucidium passerinum,Eurasian Pygmy Owl,Eurasian Pygmy-Owl,Eurasian Pygmy-Owl,Chevêchette d’Europe,NA,Mochuelo alpino,Mochuelo Chico,Dwerguil,NA,spurveugle,NA
7570,Athene noctua,Little Owl,Little Owl,Little Owl,Chevêche d’Athéna,NA,Mochuelo europeo,NA,Steenuil,NA,kirkeugle,NA
7610,Strix aluco,Tawny Owl,Tawny Owl,Tawny Owl,Chouette hulotte,NA,Cárabo común,NA,Bosuil,NA,kattugle,NA
7650,Strix uralensis,Ural Owl,Ural Owl,Ural Owl,Chouette de l’Oural,NA,Cárabo uralense,NA,Oeraluil,NA,slagugle,NA
7660,Strix nebulosa,Great Grey Owl,Great Gray Owl,Great Grey Owl,Chouette lapone,NA,Cárabo lapón,NA,Laplanduil ,NA,lappugle,NA
7670,Asio otus,Long-eared Owl,Long-eared Owl,Long-eared Owl,Hibou moyen-duc,NA,Búho chico,NA,Ransuil,NA,hornugle,NA
7680,Asio flammeus,Short-eared Owl,Short-eared Owl,Short-eared Owl,Hibou des marais,NA,Búho campestre,NA,Velduil,NA,jordugle,NA
7700,Aegolius funereus,Boreal Owl,Boreal Owl,Tengmalm's Owl,Nyctale de Tengmalm,NA,Mochuelo boreal,NA,Ruigpootuil,NA,perleugle,NA
7780,Caprimulgus europaeus,European Nightjar,Eurasian Nightjar,Eurasian Nightjar,Engoulevent d’Europe,NA,Chotacabras europeo,NA,Nachtzwaluw,NA,nattravn,NA
7790,Caprimulgus ruficollis,Red-necked Nightjar,Red-necked Nightjar,Red-necked Nightjar,Engoulevent à collier roux,NA,Chotacabras cuellirrojo,NA,Moorse nachtzwaluw,NA,rødhalsnattravn,NA
7950,Apus apus,Common Swift,Common Swift,Common Swift,Martinet noir,NA,Vencejo común,NA,Gierzwaluw,NA,tårnseiler,NA
8310,Alcedo atthis,Common Kingfisher,Common Kingfisher,Common Kingfisher,Martin-pêcheur d’Europe,NA,Martín pescador común,NA,IJsvogel,NA,isfugl,NA
8400,Merops apiaster,European Bee-eater,European Bee-eater,European Bee-eater,Guêpier d’Europe,NA,Abejaruco europeo,NA,Bijeneter,NA,bieter,NA
8460,Upupa epops,Eurasian Hoopoe,Eurasian Hoopoe,Eurasian Hoopoe,Huppe fasciée,NA,Abubilla común,NA,Hop,NA,hærfugl,NA
8480,Jynx torquilla,Eurasian Wryneck,Eurasian Wryneck,Eurasian Wryneck,Torcol fourmilier,NA,Torcecuello euroasiático,NA,Draaihals,NA,vendehals,NA
8550,Picus canus,Grey-headed Woodpecker,Gray-headed Woodpecker,Grey-headed Woodpecker,Pic cendré,NA,Pito cano,NA,Grijskopspecht,NA,gråspett,NA
8560,Picus viridis,European Green Woodpecker,Eurasian Green Woodpecker,Eurasian Green Woodpecker,Pic vert,NA,Pito real euroasiático,Pito Euroasiático,Groene Specht,NA,grønnspett,NA
8630,Dryocopus martius,Black Woodpecker,Black Woodpecker,Black Woodpecker,Pic noir,NA,Picamaderos negro,NA,Zwarte Specht,NA,svartspett,NA
8760,Dendrocopos major,Great Spotted Woodpecker,Great Spotted Woodpecker,Great Spotted Woodpecker,Pic épeiche,NA,Pico picapinos,NA,Grote Bonte Specht,NA,flaggspett,NA
8780,Dendrocopos syriacus,Syrian Woodpecker,Syrian Woodpecker,Syrian Woodpecker,Pic syriaque,NA,Pico sirio,NA,Syrische bonte specht,NA,syriaspett,NA
8830,Dendrocoptes medius,Middle Spotted Woodpecker,Middle Spotted Woodpecker,Middle Spotted Woodpecker,Pic mar,NA,Pico mediano,NA,Middelste Bonte Specht,NA,mellomspett,NA
8840,Dendrocopos leucotos,White-backed Woodpecker,White-backed Woodpecker,White-backed Woodpecker,Pic à dos blanc,NA,Pico dorsiblanco,NA,Witrugspecht ,NA,hvitryggspett,NA
8870,Dryobates minor,Lesser Spotted Woodpecker,Lesser Spotted Woodpecker,Lesser Spotted Woodpecker,Pic épeichette,NA,Pico menor,NA,Kleine Bonte Specht,NA,dvergspett,NA
8980,Picoides tridactylus,Eurasian Three-toed Woodpecker,Eurasian Three-toed Woodpecker,Eurasian Three-toed Woodpecker,Pic tridactyle,NA,Pico tridáctilo,Pico Tridáctilo Euroasiático,Drieteenspecht ,NA,tretåspett,NA
9610,Melanocorypha calandra,Calandra Lark,Calandra Lark,Calandra Lark,Alouette calandre,NA,Calandria común,NA,Kalanderleeuwerik,NA,kalanderlerke,NA
9680,Calandrella brachydactyla,Greater Short-toed Lark,Greater Short-toed Lark,Greater Short-toed Lark,Alouette calandrelle,NA,Terrera común,NA,Kortteenleeuwerik,NA,dverglerke,NA
9720,Galerida cristata,Crested Lark,Crested Lark,Crested Lark,Cochevis huppé,NA,Cogujada común,NA,Kuifleeuwerik,Crested/Maghreb Lark,topplerke,NA
9730,Galerida theklae,Thekla's Lark,Thekla's Lark,Thekla's Lark,Cochevis de Thékla,NA,Cogujada montesina,NA,Thekla's Leeuwerik,Theklaleeuwerik,krattopplerke,NA
9740,Lullula arborea,Woodlark,Wood Lark,Woodlark,Alouette lulu,NA,Alondra totovía,NA,Boomleeuwerik,NA,trelerke,NA
9760,Alauda arvensis,Eurasian Skylark,Eurasian Skylark,Eurasian Skylark,Alouette des champs,NA,Alondra común,NA,Veldleeuwerik,NA,sanglerke,NA
9780,Eremophila alpestris,Horned Lark,Horned Lark,Shore Lark,Alouette hausse-col,NA,Alondra cornuda,NA,Strandleeuwerik,NA,fjellerke,NA
9810,Riparia riparia,Sand Martin,Bank Swallow,Sand Martin,Hirondelle de rivage,NA,Avión zapador,NA,Oeverzwaluw,NA,sandsvale,NA
9920,Hirundo rustica,Barn Swallow,Barn Swallow,Barn Swallow,Hirondelle rustique,NA,Golondrina común,NA,Boerenzwaluw,NA,låvesvale,NA
10010,Delichon urbicum,Western House Martin,Western House-Martin,Western House Martin,Hirondelle de fenêtre,NA,Avión común occidental,Avión Común,Huiszwaluw,NA,taksvale,NA
10020,Anthus richardi,Richard's Pipit,Richard's Pipit,Richard's Pipit,Pipit de Richard,NA,Bisbita de Richard,NA,Grote Pieper,NA,tartarpiplerke,NA
10050,Anthus campestris,Tawny Pipit,Tawny Pipit,Tawny Pipit,Pipit rousseline,NA,Bisbita campestre,NA,Duinpieper,NA,markpiplerke,NA
10090,Anthus trivialis,Tree Pipit,Tree Pipit,Tree Pipit,Pipit des arbres,NA,Bisbita arbóreo,NA,Boompieper,NA,trepiplerke,NA
10110,Anthus pratensis,Meadow Pipit,Meadow Pipit,Meadow Pipit,Pipit farlouse,NA,Bisbita pratense,NA,Graspieper,NA,heipiplerke,NA
10120,Anthus cervinus,Red-throated Pipit,Red-throated Pipit,Red-throated Pipit,Pipit à gorge rousse,NA,Bisbita gorjirrojo,NA,Roodkeelpieper,NA,lappiplerke,NA
10141,Anthus spinoletta,Water Pipit,Water Pipit,Water Pipit,Pipit spioncelle,NA,Bisbita alpino,NA,Waterpieper,NA,vannpiplerke,NA
10145,Anthus petrosus,European Rock Pipit,Rock Pipit,Rock Pipit,Pipit maritime,NA,Bisbita costero,NA,Oeverpieper,NA,skjærpiplerke,NA
10170,Motacilla flava,Western Yellow Wagtail,Western Yellow Wagtail,Western Yellow Wagtail,Bergeronnette printanière,NA,Lavandera boyera,NA,Gele Kwikstaart,NA,gulerle,NA
10172,Motacilla flava flavissima,NA,NA,NA,NA,NA,NA,NA,Engelse Kwikstaart,NA,NA,NA
10180,Motacilla citreola,Citrine Wagtail,Citrine Wagtail,Citrine Wagtail,Bergeronnette citrine,NA,Lavandera cetrina,NA,Citroenkwikstaart,NA,sitronerle,NA
10190,Motacilla cinerea,Grey Wagtail,Gray Wagtail,Grey Wagtail,Bergeronnette des ruisseaux,NA,Lavandera cascadeña,NA,Grote Gele Kwikstaart,NA,vintererle,NA
10200,Motacilla alba,White Wagtail,White Wagtail,Pied Wagtail/White Wagtail,Bergeronnette grise,NA,Lavandera blanca,NA,Witte Kwikstaart,NA,linerle,NA
10202,Motacilla alba yarrellii,NA,NA,NA,NA,NA,NA,NA,Rouwkwikstaart,NA,NA,NA
10480,Bombycilla garrulus,Bohemian Waxwing,Bohemian Waxwing,Bohemian Waxwing,Jaseur boréal,NA,Ampelis europeo,NA,Pestvogel,NA,sidensvans,NA
10500,Cinclus cinclus,White-throated Dipper,White-throated Dipper,White-throated Dipper,Cincle plongeur,NA,Mirlo acuático europeo,NA,Zwartbuikwaterspreeuw,Waterspreeuw,fossekall,NA
10660,Troglodytes troglodytes,Eurasian Wren,Eurasian Wren,Eurasian Wren,Troglodyte mignon,NA,Chochín paleártico,NA,Winterkoning,NA,gjerdesmett,NA
